teamid,Stat,Value,Rank
16,ptPctg,51.5,23rd
16,pts,70,24th
16,savePctg,0.912,5th
16,shootingPctg,9.4,18th
16,shotsAllowed,35.2353,31st
16,shotsPerGame,31.6618,14th
16,winLeadFirstPer,0.731,20th
16,winLeadSecondPer,0.778,26th
16,winOppScoreFirst,0.306,18th
16,winOutshootOpp,0.476,14th
16,winOutshotByOpp,0.467,14th
16,winScoreFirst,0.625,26th
16,wins,31,24th
17,evGGARatio,0.5273,31st
17,faceOffWinPercentage,49.5,20th
17,faceOffsLost,1940,14th
17,faceOffsTaken,3840,23rd
17,faceOffsWon,1900,23rd
17,gamesPlayed,69,
17,goalsAgainstPerGame,3.71,31st
17,goalsPerGame,1.971,31st
17,losses,48,31st
17,ot,5,30th
17,penaltyKillOpportunities,,26th
17,penaltyKillPercentage,75.3,30th
17,powerPlayGoals,31,27th
17,powerPlayGoalsAgainst,54,31st
17,powerPlayOpportunities,207,13th
17,powerPlayPercentage,15.0,28th
17,ptPctg,26.8,31st
17,pts,37,31st
17,savePctg,0.887,31st
17,shootingPctg,7.3,31st
17,shotsAllowed,32.6957,27th
17,shotsPerGame,27.1159,31st
17,winLeadFirstPer,0.444,31st
17,winLeadSecondPer,0.6,31st
17,winOppScoreFirst,0.15,30th
17,winOutshootOpp,0.333,30th
17,winOutshotByOpp,0.191,30th
17,winScoreFirst,0.345,31st
17,wins,16,31st
18,evGGARatio,1.1119,8th
18,faceOffWinPercentage,52.1,4th
18,faceOffsLost,1929,13th
18,faceOffsTaken,4030,6th
18,faceOffsWon,2101,4th
18,gamesPlayed,68,
18,goalsAgainstPerGame,3.118,21st
18,goalsPerGame,3.059,16th
18,losses,26,18th
18,ot,8,14th
18,penaltyKillOpportunities,,20th
18,penaltyKillPercentage,75.8,29th
18,powerPlayGoals,38,21st
18,powerPlayGoalsAgainst,51,29th
18,powerPlayOpportunities,222,6th
18,powerPlayPercentage,17.1,24th
18,ptPctg,55.9,18th
18,pts,76,17th
18,savePctg,0.9,22nd
18,shootingPctg,9.2,20th
18,shotsAllowed,31.2206,16th
18,shotsPerGame,33.1029,4th
18,winLeadFirstPer,0.8,12th
18,winLeadSecondPer,0.808,23rd
18,winOppScoreFirst,0.25,26th
18,winOutshootOpp,0.459,19th
18,winOutshotByOpp,0.567,19th
18,winScoreFirst,0.722,6th
18,wins,34,19th
19,evGGARatio,1.2479,4th
19,faceOffWinPercentage,51.6,6th
19,faceOffsLost,1864,5th
19,faceOffsTaken,3848,22nd
19,faceOffsWon,1984,13th
19,gamesPlayed,68,
19,goalsAgainstPerGame,2.735,6th
19,goalsPerGame,3.176,11th
19,losses,18,2nd
19,ot,10,5th
19,penaltyKillOpportunities,,11th
19,penaltyKillPercentage,79.2,18th
19,powerPlayGoals,48,6th
19,powerPlayGoalsAgainst,41,17th
19,powerPlayOpportunities,196,20th
19,powerPlayPercentage,24.5,3rd
19,ptPctg,66.2,3rd
19,pts,90,3rd
19,savePctg,0.907,10th
19,shootingPctg,10.3,10th
19,shotsAllowed,29.5588,4th
19,shotsPerGame,30.7206,22nd
19,winLeadFirstPer,0.64,26th
19,winLeadSecondPer,0.806,24th
19,winOppScoreFirst,0.387,9th
19,winOutshootOpp,0.588,6th
19,winOutshotByOpp,0.563,6th
19,winScoreFirst,0.757,4th
19,wins,40,5th
20,evGGARatio,0.9231,24th
20,faceOffWinPercentage,49.1,23rd
20,faceOffsLost,2067,28th
20,faceOffsTaken,4059,4th
20,faceOffsWon,1992,11th
20,gamesPlayed,69,
20,goalsAgainstPerGame,3.029,15th
20,goalsPerGame,2.913,20th
20,losses,26,15th
20,ot,7,21st
20,penaltyKillOpportunities,,9th
20,penaltyKillPercentage,82.6,6th
20,powerPlayGoals,40,20th
20,powerPlayGoalsAgainst,34,7th
20,powerPlayOpportunities,192,23rd
20,powerPlayPercentage,20.8,13th
20,ptPctg,57.2,15th
20,pts,79,14th
20,savePctg,0.907,12th
20,shootingPctg,9.2,19th
20,shotsAllowed,32.4493,24th
20,shotsPerGame,31.7391,13th
20,winLeadFirstPer,0.857,5th
20,winLeadSecondPer,0.852,17th
20,winOppScoreFirst,0.41,3rd
20,winOutshootOpp,0.5,13th
20,winOutshotByOpp,0.5,13th
20,winScoreFirst,0.667,25th
20,wins,36,11th
21,evGGARatio,1.4364,1st
21,faceOffWinPercentage,49.6,19th
21,faceOffsLost,1983,20th
21,faceOffsTaken,3932,13th
21,faceOffsWon,1949,17th
21,gamesPlayed,67,
21,goalsAgainstPerGame,2.716,5th
21,goalsPerGame,3.403,4th
21,losses,19,3rd
21,ot,8,9th
21,penaltyKillOpportunities,,13th
21,penaltyKillPercentage,81.5,13th
21,powerPlayGoals,43,10th
21,powerPlayGoalsAgainst,37,11th
21,powerPlayOpportunities,231,1st
21,powerPlayPercentage,18.6,20th
21,ptPctg,65.7,4th
21,pts,88,6th
21,savePctg,0.913,4th
21,shootingPctg,10.4,7th
21,shotsAllowed,31.3582,17th
21,shotsPerGame,32.5821,9th
21,winLeadFirstPer,0.731,18th
21,winLeadSecondPer,0.842,20th
21,winOppScoreFirst,0.417,20th
21,winOutshootOpp,0.559,9th
21,winOutshotByOpp,0.633,9th
21,winScoreFirst,0.698,2nd
21,wins,40,6th
3,evGGARatio,1.0211,14th
3,faceOffWinPercentage,46.5,30th
3,faceOffsLost,2005,23rd
3,faceOffsTaken,3747,28th
3,faceOffsWon,1742,30th
3,gamesPlayed,68,
3,goalsAgainstPerGame,3.162,25th
3,goalsPerGame,3.338,6th
3,losses,28,20th
3,ot,4,31st
3,penaltyKillOpportunities,,27th
3,penaltyKillPercentage,77.9,21st
3,powerPlayGoals,52,4th
3,powerPlayGoalsAgainst,49,28th
3,powerPlayOpportunities,221,7th
3,powerPlayPercentage,23.5,6th
3,ptPctg,55.9,19th
