teamid,Stat,Value,Rank
8,shotsPerGame,34.1143,2nd
8,winLeadFirstPer,0.6,28th
8,winLeadSecondPer,0.667,29th
8,winOppScoreFirst,0.313,21st
8,winOutshootOpp,0.465,16th
8,winOutshotByOpp,0.417,16th
8,winScoreFirst,0.553,23rd
8,wins,31,23rd
9,evGGARatio,0.8224,28th
9,faceOffWinPercentage,50.2,14th
9,faceOffsLost,2055,27th
9,faceOffsTaken,4131,2nd
9,faceOffsWon,2076,5th
9,gamesPlayed,69,
9,goalsAgainstPerGame,3.333,30th
9,goalsPerGame,2.696,24th
9,losses,32,28th
9,ot,12,4th
9,penaltyKillOpportunities,,29th
9,penaltyKillPercentage,76.8,27th
9,powerPlayGoals,30,29th
9,powerPlayGoalsAgainst,52,30th
9,powerPlayOpportunities,204,15th
9,powerPlayPercentage,14.7,30th
9,ptPctg,44.9,29th
9,pts,62,29th
9,savePctg,0.901,20th
9,shootingPctg,8.8,22nd
9,shotsAllowed,33.7681,29th
9,shotsPerGame,30.5217,24th
9,winLeadFirstPer,0.632,27th
9,winLeadSecondPer,0.85,18th
9,winOppScoreFirst,0.256,19th
9,winOutshootOpp,0.455,20th
9,winOutshotByOpp,0.357,20th
9,winScoreFirst,0.538,30th
9,wins,25,30th
10,evGGARatio,1.0192,15th
10,faceOffWinPercentage,52.5,3rd
10,faceOffsLost,1841,4th
10,faceOffsTaken,3876,19th
10,faceOffsWon,2035,8th
10,gamesPlayed,69,
10,goalsAgainstPerGame,3.203,27th
10,goalsPerGame,3.406,3rd
10,losses,25,13th
10,ot,9,7th
10,penaltyKillOpportunities,,8th
10,penaltyKillPercentage,77.2,23rd
10,powerPlayGoals,43,11th
10,powerPlayGoalsAgainst,43,20th
10,powerPlayOpportunities,190,24th
10,powerPlayPercentage,22.6,7th
10,ptPctg,57.2,14th
10,pts,79,13th
10,savePctg,0.9,24th
10,shootingPctg,10.4,8th
10,shotsAllowed,31.8841,19th
10,shotsPerGame,32.8406,6th
10,winLeadFirstPer,0.8,11th
10,winLeadSecondPer,0.857,16th
10,winOppScoreFirst,0.308,12th
10,winOutshootOpp,0.576,8th
10,winOutshotByOpp,0.438,8th
10,winScoreFirst,0.767,19th
10,wins,35,15th
