teamid,Team Name,Season,PlayerName,roster_position_code,player_id,evenSaves,evenShots,evenStrengthSavePercentage,games,gamesStarted,goalAgainstAverage,goalsAgainst,losses,ot,powerPlaySavePercentage,powerPlaySaves,powerPlayShots,savePercentage,saves,shortHandedSavePercentage,shortHandedSaves,shortHandedShots,shotsAgainst,shutouts,ties,timeOnIce,timeOnIcePerGame,wins
1,New Jersey Devils,20172018,Cory Schneider,G,8471239,911,996,91.4658634538153,40,40,2.93279,114,16,6,86.2244897959184,169,196,0.907,1114,94.4444444444444,34,36,1228,1,0,2332:15,58:18,17
1,New Jersey Devils,20172018,Eddie Lack,G,8475663,118,130,90.7692307692308,8,5,4.016103,23,4,0,78.3783783783784,29,37,0.87,154,70,7,10,177,0,0,343:37,42:57,2
1,New Jersey Devils,20172018,Keith Kinkaid,G,8476234,938,1026,91.4230019493177,41,38,2.768146,106,10,3,89.0322580645161,138,155,0.913,1108,96.969696969697,32,33,1214,1,0,2297:34,56:02,26
1,New Jersey Devils,20172018,Ken Appleby,G,8478965,43,45,95.5555555555556,3,1,1.447721,3,1,0,100,7,7,0.945,52,66.6666666666667,2,3,55,0,0,124:20,41:26,0
10,Toronto Maple Leafs,20172018,Calvin Pickard,G,8475717,18,21,85.7142857142857,1,1,3.834887,4,0,1,85.7142857142857,6,7,0.857,24,"",0,0,28,0,0,62:35,62:35,0
10,Toronto Maple Leafs,20172018,Curtis McElhinney,G,8470147,406,428,94.8598130841122,18,15,2.14479,35,5,1,86.6666666666667,78,90,0.934,493,90,9,10,528,3,0,979:07,54:23,11
10,Toronto Maple Leafs,20172018,Frederik Andersen,G,8475883,1733,1881,92.1318447634237,66,66,2.808269,182,21,5,88.929889298893,241,271,0.918,2029,93.2203389830508,55,59,2211,5,0,3888:31,58:55,38
12,Carolina Hurricanes,20172018,Cam Ward,G,8470320,932,1021,91.28305582762,43,42,2.732448,112,14,4,86.4285714285714,121,140,0.906,1075,84.6153846153846,22,26,1187,2,0,2459:20,57:11,23
12,Carolina Hurricanes,20172018,Scott Darling,G,8474152,913,1018,89.6856581532417,43,40,3.175608,131,21,7,80,96,120,0.888,1040,93.9393939393939,31,33,1171,0,0,2475:07,57:33,13
13,Florida Panthers,20172018,Antti Niemi,G,8474550,513,553,92.7667269439421,24,20,3.115984,63,9,4,83.5714285714286,117,140,0.911,647,100,17,17,710,1,0,1213:06,50:32,7
13,Florida Panthers,20172018,Harri Sateri,G,8474667,202,219,92.2374429223744,9,7,2.923264,24,4,0,87.8048780487805,36,41,0.911,247,81.8181818181818,9,11,271,0,0,492:36,54:44,4
