teams_name,PlayerName,roster_position_code,player_id,evenSaves,evenShots,evenStrengthSavePercentage,games,gamesStarted,goalAgainstAverage,goalsAgainst,losses,ot,powerPlaySavePercentage,powerPlaySaves,powerPlayShots,savePercentage,saves,season,shortHandedSavePercentage,shortHandedSaves,shortHandedShots,shotsAgainst,shutouts,ties,timeOnIce,timeOnIcePerGame,wins,fileSuffix
Philadelphia Flyers,Alex Lyon,G,8479312,18,23,78.2608695652174,2,1,5.07,6,1,0,80,4,5,0.806,25,20182019,100,3,3,31,0,0,70:49,35:24,0,_20182019
Philadelphia Flyers,Anthony Stolarz,G,8476932,389,427,91.1007025761124,18,12,3.45,50,5,3,85,51,60,0.901,453,20182019,81.25,13,16,503,1,0,868:25,48:14,4,_20182019
Philadelphia Flyers,Brian Elliott,G,8470880,562,612,91.8300653594771,26,23,2.96,69,11,1,84.4660194174757,87,103,0.907,672,20182019,88.4615384615385,23,26,741,1,0,1396:43,53:43,11,_20182019
Philadelphia Flyers,Calvin Pickard,G,8475717,277,311,89.0675241157556,17,12,3.86,48,6,2,80.327868852459,49,61,0.875,336,20182019,83.3333333333333,10,12,384,1,0,746:48,43:55,4,_20182019
Philadelphia Flyers,Cam Talbot,G,8475660,763,840,90.8333333333333,35,32,3.4,108,17,3,78.9473684210526,105,133,0.892,889,20182019,87.5,21,24,997,1,0,1905:16,54:26,11,_20182019
Philadelphia Flyers,Carter Hart,G,8479394,777,848,91.627358490566,31,30,2.83,81,13,1,90.625,87,96,0.917,895,20182019,96.875,31,32,976,0,0,1716:55,55:23,16,_20182019
Philadelphia Flyers,Michal Neuvirth,G,8473607,128,148,86.4864864864865,7,6,4.26,26,4,1,80,24,30,0.859,158,20182019,100,6,6,184,0,0,365:38,52:14,1,_20182019
Philadelphia Flyers,Mike McKenna,G,8470093,224,254,88.1889763779528,11,7,3.99,34,5,1,91.4893617021276,43,47,0.892,282,20182019,100,15,15,316,0,0,511:15,46:28,1,_20182019
Pittsburgh Penguins,Casey DeSmith,G,8479193,829,893,92.8331466965286,36,30,2.75,89,11,5,87.218045112782,116,133,0.916,971,20182019,76.4705882352941,26,34,1060,3,0,1943:33,53:59,15,_20182019
Pittsburgh Penguins,Matt Murray,G,8476899,1258,1352,93.0473372781065,50,50,2.69,129,14,6,85.5670103092783,166,194,0.919,1465,20182019,85.4166666666667,41,48,1594,4,0,2880:14,57:36,29,_20182019
