gameID,teamid1,teamID2,main_title,title,blurb,description,FLASH_192K_320X180,FLASH_450K_400X224,FLASH_1200K_640X360,FLASH_1800K_960X540,HTTP_CLOUD_MOBILE,HTTP_CLOUD_TABLET,HTTP_CLOUD_TABLET_60,HTTP_CLOUD_WIRED,HTTP_CLOUD_WIRED_60,HTTP_CLOUD_WIRED_WEB,FLASH_450K_384x216,FLASH_1800K_896x504
2019021032,23,53,Recap,"Recap: ARI 4, VAN 2",Coyotes score three goals in third to defeat Canucks,"Nick Schmaltz, Lawson Crouse, and Oliver Ekman-Larsson all scored in the third period to lift the Coyotes to a 4-2 win against the Canucks",https://hlslive-wsczoominwestus.med.nhl.com/publish/08ddd4f3-95c4-4be2-85d3-40b991d315fe.mp4,"",https://hlslive-wsczoominwestus.med.nhl.com/publish/b97e2f1e-3e4e-4f57-b2f2-2c8c11271eb6.mp4,"",https://hlslive-wsczoominwestus.med.nhl.com/publish-hls/5260787/MasterMobile.m3u8,https://hlslive-wsczoominwestus.med.nhl.com/publish-hls/5260787/MasterTablet.m3u8,https://hlslive-wsczoominwestus.med.nhl.com/publish-hls/5260787/MasterTablet60.m3u8,https://hlslive-wsczoominwestus.med.nhl.com/publish-hls/5260787/MasterWired.m3u8,https://hlslive-wsczoominwestus.med.nhl.com/publish-hls/5260787/MasterWired60.m3u8,https://hlslive-wsczoominwestus.med.nhl.com/publish-hls/5260787/MasterWiredWeb.m3u8,https://hlslive-wsczoominwestus.med.nhl.com/publish/7e9a0330-74b0-4215-8df5-b46d58e78e02.mp4,https://hlslive-wsczoominwestus.med.nhl.com/publish/ddff8a78-2edc-4507-8aff-2e06de21b415.mp4
2019021033,5,7,Extended Highlights,PIT @ BUF,Condensed Game: Penguins @ Sabres,Extended highlights of the Pittsburgh Penguins at the Buffalo Sabres,https://hlslive-wsczoominwestus.med.nhl.com/publish/ff3e4d76-39a0-4484-87a6-09fc9e71b300.mp4,"",https://hlslive-wsczoominwestus.med.nhl.com/publish/9f36dcdf-cbba-4621-b864-01be220e49a9.mp4,"",https://hlslive-wsczoominwestus.med.nhl.com/publish-hls/5262467/MasterMobile.m3u8,https://hlslive-wsczoominwestus.med.nhl.com/publish-hls/5262467/MasterTablet.m3u8,https://hlslive-wsczoominwestus.med.nhl.com/publish-hls/5262467/MasterTablet60.m3u8,https://hlslive-wsczoominwestus.med.nhl.com/publish-hls/5262467/MasterWired.m3u8,https://hlslive-wsczoominwestus.med.nhl.com/publish-hls/5262467/MasterWired60.m3u8,https://hlslive-wsczoominwestus.med.nhl.com/publish-hls/5262467/MasterWiredWeb.m3u8,https://hlslive-wsczoominwestus.med.nhl.com/publish/0110efd6-bb5f-4b0f-ae72-ec6a383a86df.mp4,https://hlslive-wsczoominwestus.med.nhl.com/publish/61829437-0886-47db-b723-c073bdc23b46.mp4
2019021033,5,7,Recap,"Recap: PIT 4, BUF 2",Hornqvist tallies twice to help Penguins top Sabres,Patric Hornqvist scored two goals while Sidney Crosby added a goal to lift the Penguins to a 4-2 win against the Sabres,https://hlslive-wsczoominwestus.med.nhl.com/publish/2d99b34f-c35b-48f7-9709-2d3652dc9fd4.mp4,"",https://hlslive-wsczoominwestus.med.nhl.com/publish/e604147a-f832-4023-85c2-eba5d2b82770.mp4,"",https://hlslive-wsczoominwestus.med.nhl.com/publish-hls/5262468/MasterMobile.m3u8,https://hlslive-wsczoominwestus.med.nhl.com/publish-hls/5262468/MasterTablet.m3u8,https://hlslive-wsczoominwestus.med.nhl.com/publish-hls/5262468/MasterTablet60.m3u8,https://hlslive-wsczoominwestus.med.nhl.com/publish-hls/5262468/MasterWired.m3u8,https://hlslive-wsczoominwestus.med.nhl.com/publish-hls/5262468/MasterWired60.m3u8,https://hlslive-wsczoominwestus.med.nhl.com/publish-hls/5262468/MasterWiredWeb.m3u8,https://hlslive-wsczoominwestus.med.nhl.com/publish/51330f33-e130-4b43-9301-ff715ad4c960.mp4,https://hlslive-wsczoominwestus.med.nhl.com/publish/f6056f08-dbb4-408b-a941-3741ace4b4d7.mp4
2019021034,14,8,Extended Highlights,MTL @ TBL,Condensed Game: Canadiens @ Lightning,Extended highlights of the Montreal Canadiens at the Tampa Bay Lightning,https://hlslive-wsczoominwestus.med.nhl.com/publish/8adefe90-b12f-40b5-a129-c88c97cee3c8.mp4,"",https://hlslive-wsczoominwestus.med.nhl.com/publish/bfd432a4-6b4c-4ff6-b52c-006023858dbe.mp4,"",https://hlslive-wsczoominwestus.med.nhl.com/publish-hls/5262549/MasterMobile.m3u8,https://hlslive-wsczoominwestus.med.nhl.com/publish-hls/5262549/MasterTablet.m3u8,https://hlslive-wsczoominwestus.med.nhl.com/publish-hls/5262549/MasterTablet60.m3u8,https://hlslive-wsczoominwestus.med.nhl.com/publish-hls/5262549/MasterWired.m3u8,https://hlslive-wsczoominwestus.med.nhl.com/publish-hls/5262549/MasterWired60.m3u8,https://hlslive-wsczoominwestus.med.nhl.com/publish-hls/5262549/MasterWiredWeb.m3u8,https://hlslive-wsczoominwestus.med.nhl.com/publish/f086b6e2-cf21-4c60-8b4b-771626889cbf.mp4,https://hlslive-wsczoominwestus.med.nhl.com/publish/f8fddb87-dd1e-41e2-bb5a-955f152a0909.mp4
2019021034,14,8,Recap,"Recap: MTL 0, TBL 4","Hedman scores twice, Lightning shut out Canadiens","Victor Hedman recorded two goals and Andrei Vasilevskiy stopped all 32 shots he faced, as the Lightning shut out the Canadiens at home, 4-0",https://hlslive-wsczoominwestus.med.nhl.com/publish/9e6aefc6-d48b-4f6d-a9c6-3b7db3178f5d.mp4,"",https://hlslive-wsczoominwestus.med.nhl.com/publish/563148e8-8887-4700-87d1-b902e52a4984.mp4,"",https://hlslive-wsczoominwestus.med.nhl.com/publish-hls/5262550/MasterMobile.m3u8,https://hlslive-wsczoominwestus.med.nhl.com/publish-hls/5262550/MasterTablet.m3u8,https://hlslive-wsczoominwestus.med.nhl.com/publish-hls/5262550/MasterTablet60.m3u8,https://hlslive-wsczoominwestus.med.nhl.com/publish-hls/5262550/MasterWired.m3u8,https://hlslive-wsczoominwestus.med.nhl.com/publish-hls/5262550/MasterWired60.m3u8,https://hlslive-wsczoominwestus.med.nhl.com/publish-hls/5262550/MasterWiredWeb.m3u8,https://hlslive-wsczoominwestus.med.nhl.com/publish/a98751ed-498b-47c6-a7e6-b6a7450bac53.mp4,https://hlslive-wsczoominwestus.med.nhl.com/publish/647eb498-4097-4bbf-af04-5dd240a0ccca.mp4
2019021035,6,13,Extended Highlights,BOS @ FLA,Condensed Game: Bruins @ Panthers,Extended highlights of the Boston Bruins at the Florida Panthers,https://hlslive-wsczoominwestus.med.nhl.com/publish/11f0081c-ffe8-4bc9-b290-70e744b45f67.mp4,"",https://hlslive-wsczoominwestus.med.nhl.com/publish/c24366e7-05b2-4568-968c-3cd0bec5551b.mp4,"",https://hlslive-wsczoominwestus.med.nhl.com/publish-hls/5262657/MasterMobile.m3u8,https://hlslive-wsczoominwestus.med.nhl.com/publish-hls/5262657/MasterTablet.m3u8,https://hlslive-wsczoominwestus.med.nhl.com/publish-hls/5262657/MasterTablet60.m3u8,https://hlslive-wsczoominwestus.med.nhl.com/publish-hls/5262657/MasterWired.m3u8,https://hlslive-wsczoominwestus.med.nhl.com/publish-hls/5262657/MasterWired60.m3u8,https://hlslive-wsczoominwestus.med.nhl.com/publish-hls/5262657/MasterWiredWeb.m3u8,https://hlslive-wsczoominwestus.med.nhl.com/publish/70b4629e-b301-4053-96ad-d0dfcfd525eb.mp4,https://hlslive-wsczoominwestus.med.nhl.com/publish/3575cbb9-d0d2-499e-99e3-e7a839ec3163.mp4
2019021035,6,13,Recap,"Recap: BOS 2, FLA 1 - F/OT","Bergeron, Krug lift Bruins to OT victory","Patrice Bergeron scored in regulation, and Torey Krug added the overtime winner as the Bruins edged the Panthers, on the road, 2-1",https://hlslive-wsczoominwestus.med.nhl.com/publish/278a3b72-bbbb-45e4-9863-613d3b060b12.mp4,"",https://hlslive-wsczoominwestus.med.nhl.com/publish/c7a5ac8a-88a7-4187-a3e6-41d93252cedb.mp4,"",https://hlslive-wsczoominwestus.med.nhl.com/publish-hls/5262656/MasterMobile.m3u8,https://hlslive-wsczoominwestus.med.nhl.com/publish-hls/5262656/MasterTablet.m3u8,https://hlslive-wsczoominwestus.med.nhl.com/publish-hls/5262656/MasterTablet60.m3u8,https://hlslive-wsczoominwestus.med.nhl.com/publish-hls/5262656/MasterWired.m3u8,https://hlslive-wsczoominwestus.med.nhl.com/publish-hls/5262656/MasterWired60.m3u8,https://hlslive-wsczoominwestus.med.nhl.com/publish-hls/5262656/MasterWiredWeb.m3u8,https://hlslive-wsczoominwestus.med.nhl.com/publish/5264acb8-46bd-423b-b2b5-4f61306c9570.mp4,https://hlslive-wsczoominwestus.med.nhl.com/publish/1f915142-10c8-4266-b6b1-57f96c831951.mp4
2019021036,15,3,Extended Highlights,WSH @ NYR,Condensed Game: Capitals @ Rangers,Extended highlights of the Washington Capitals at the New York Rangers,https://hlslive-wsczoominwestus.med.nhl.com/publish/c733fa71-3006-4b5d-8ff6-2c59dded5b15.mp4,"",https://hlslive-wsczoominwestus.med.nhl.com/publish/a1b6d3b0-e600-40ff-8dcb-ddaa16379449.mp4,"",https://hlslive-wsczoominwestus.med.nhl.com/publish-hls/5262689/MasterMobile.m3u8,https://hlslive-wsczoominwestus.med.nhl.com/publish-hls/5262689/MasterTablet.m3u8,https://hlslive-wsczoominwestus.med.nhl.com/publish-hls/5262689/MasterTablet60.m3u8,https://hlslive-wsczoominwestus.med.nhl.com/publish-hls/5262689/MasterWired.m3u8,https://hlslive-wsczoominwestus.med.nhl.com/publish-hls/5262689/MasterWired60.m3u8,https://hlslive-wsczoominwestus.med.nhl.com/publish-hls/5262689/MasterWiredWeb.m3u8,https://hlslive-wsczoominwestus.med.nhl.com/publish/1721be94-4e77-402f-b8a2-98fe3c3d7e6a.mp4,https://hlslive-wsczoominwestus.med.nhl.com/publish/08a326e5-70b7-42d2-be8e-1b4c75294381.mp4
2019021036,15,3,Recap,"Recap: WSH 5, NYR 6 - F/OT",Zibanejad scores five goals to lift Rangers in OT,"Mika Zibanejad scored five goals, including the game winning goal in overtime to lift the Rangers past the Capitals, 6-5",https://hlslive-wsczoominwestus.med.nhl.com/publish/7e76a2ab-1854-4236-bd44-912e3e418d23.mp4,"",https://hlslive-wsczoominwestus.med.nhl.com/publish/58c91674-061b-42fa-b663-181203ae1859.mp4,"",https://hlslive-wsczoominwestus.med.nhl.com/publish-hls/5262688/MasterMobile.m3u8,https://hlslive-wsczoominwestus.med.nhl.com/publish-hls/5262688/MasterTablet.m3u8,https://hlslive-wsczoominwestus.med.nhl.com/publish-hls/5262688/MasterTablet60.m3u8,https://hlslive-wsczoominwestus.med.nhl.com/publish-hls/5262688/MasterWired.m3u8,https://hlslive-wsczoominwestus.med.nhl.com/publish-hls/5262688/MasterWired60.m3u8,https://hlslive-wsczoominwestus.med.nhl.com/publish-hls/5262688/MasterWiredWeb.m3u8,https://hlslive-wsczoominwestus.med.nhl.com/publish/f6d91b64-14f2-467f-9e98-f1718dee6913.mp4,https://hlslive-wsczoominwestus.med.nhl.com/publish/41608a3a-884d-4725-ba93-248c2037847a.mp4
2019021037,12,4,Extended Highlights,CAR @ PHI,Condensed Game: Hurricanes @ Flyers,Extended highlights of the Carolina Hurricanes at the Philadelphia Flyers,https://hlslive-wsczoominwestus.med.nhl.com/publish/f8a1ddb5-a67d-4085-ae6d-b4b56e9df36b.mp4,"",https://hlslive-wsczoominwestus.med.nhl.com/publish/429bff61-552c-449d-8433-0ed69cb1934a.mp4,"",https://hlslive-wsczoominwestus.med.nhl.com/publish-hls/5262488/MasterMobile.m3u8,https://hlslive-wsczoominwestus.med.nhl.com/publish-hls/5262488/MasterTablet.m3u8,https://hlslive-wsczoominwestus.med.nhl.com/publish-hls/5262488/MasterTablet60.m3u8,https://hlslive-wsczoominwestus.med.nhl.com/publish-hls/5262488/MasterWired.m3u8,https://hlslive-wsczoominwestus.med.nhl.com/publish-hls/5262488/MasterWired60.m3u8,https://hlslive-wsczoominwestus.med.nhl.com/publish-hls/5262488/MasterWiredWeb.m3u8,https://hlslive-wsczoominwestus.med.nhl.com/publish/c668997f-6ce4-4703-ae17-dee2039d5bd3.mp4,https://hlslive-wsczoominwestus.med.nhl.com/publish/57561949-def2-471c-b405-498fc4ecaefb.mp4
